person_id,title,firm,Calculated Duration
1020,Senior Database Administrator Senior Database Administrator Senior Database Administrator Senior Database Administrator Backup Administrator Unix Change Management System Analyst Programmer/System Administrator,"General Motors Financial Epsilon, LLC Brierley & Partners Fidelity Investments Fidelity Investments Texas Instruments Zadall Systems Group Tandy Corporation",33
1021,Senior Oracle Database Administrator Senior Oracle Database Administrator Missions Director & Secretary Oracle Database Administrator (Remote),Bethel World Outreach Ministries International World Energy Resources Inc Central Africa Region Goshen Group,20
1022,Associate Director Data Integrity Senior Database Manager CRM Database Manager Database Administrator Database Manager,American College Of Cardiology American Podiatric Medical Association Union Privilege American Society of Health Systems Pharmacists AIIM,19
1023,Database Architect Database Tower Lead Database Tech / Team Lead Database Adminstrator / Onsite Co-ordinator Database Administrator Database Administrator Database Administrator,Cognizant Technology Solutions Cognizant Technology Solutions US Corp Cognizant Technology Solutions ZenSar Technologies Ltd AT&T Inc ZenSar Technologies Ltd ZenSar Technologies Ltd,18
1024,Software Developer/ Database Administrator Software Developer/ Database Administrator,Pescaspir EIMA,22
1025,DATABASE ADMINISTRATOR / ANALYST DATABASE ADMINISTRATOR DB2 - SQLSERVER DATABASE ADMINISTRATOR DB2 UDB DATABASE ADMINISTRATOR,Fidelity Investments Travelport / Cognizant John Hancock Insurance Cognizant Technology Solutions Pvt. Ltd,15
1026,Senior MongoDB /Oracle/SQL Admin / Python Senior Database Developer / Mongo DB Senior Database Architect /Admini Senior Database Administrator Senior Database Administrator Senior Database Administrator Sr Database Administrator Senior Database Administrator System Analyst System Analyst Programmer Analyst Database Administrator Software Engineer,CISCO First American Anthem HCL Insys Pte Ltd Manpower staffing Services Hewlett Packard NatSteel Asia Pacific Ncs Pte Ltd HTC Software Singapore Pte Ltd HTC Global Services MSC SDN BHD Napera Software solutions(M) SDN BHD Cosmic Software Technologies(M) SDN BHD Softcom Systems,27
1027,Database Administrator(DBA) DBA,Techworld Migos Tech,5
1028,SQL Server DBA Lead Database Administrator Database Administrator Jr. Database Administrator Sr. Tech Executive Technical Executive,Datavail Corporation Datavail Corporation Datavail Corporation Datavail Corporation Esaya Software Pvt.Ltd Accenture (I) Pvt. Ltd,0
1029,Sr. Database Administrator\Lead DBA Sr. Database Administrator\Lead DBA Sr. Database Administrator Sr. Database Administrator/Tech. Lead,Infosys NTT DATA eSystems ADP,23
1030,Sr.SQL Server DBA Database Administrator Database Administrator Database Administrator SQL DBA SQL DBA,CaseNet MDTA Neometrics USDA Unisys Speedway LLC,16
1031,Senior Database Administrator Lead Database Administrator Lead Database Administrator Supervisor Project Engineering,ATT Services ATT Services SBC Services AMERITECH,30
1032,Database Engineer Database Advisor Microsoft SQL Server Data Analyst Database Administrator Database Specialist,IronArch Technology Dyncorp Intl LEIDOS Raytheon Incorporated Martin's Point Health Care,21
1033,"Webmaster, Database Administrator",Community Association of the Blind,12
1034,Senior Database Analyst Senior Database Analyst Senior Database Developer Senior Consultant / Database Administrator Database Administrator / Database Designer Database Administrator (PERS) of Mississippi Software Scientist / Database Administrator / Technical Manager,"General Dynamics Information Technology General Dynamics Information Technology General Dynamics Information Technology Booz / Allen / Hamilton, Inc Trofholz Technologies, Inc  Intergraph Corporation",40
1035,Database Administrator Database Administrator U.S. Army,IBM AIC U.S. Army,36
1036,Database Administrator Operational DBA,"FES, Group LLC ATCD",12
1037,Database Administrator Database Administrator Technical Writer Web Designer,"Montana Department of Labor and Industry Logistic Systems, Inc Logistic Systems, Inc Montana Dept. of Commerce",29
1038,Assistant Database Administrator,Trust Bank Gambia Limited,0
1039,Senior Database Administrator Database Administrator Database Administrator/Analyst,TIAA Key Corp BNP Paribas Group,17
1040,Database Engineer MySQL Database Administrator - Cloud Environment MySQL Database Administrator MySQL and Oracle Database Administrator Oracle Database Administrator Senior Oracle & MySQL Database Analyst,McKinney Consulting Nanthealth LLC Dent Zone Companies Gannett Media Tech Int Vertex Business Serv A.H. Belo Corp,20
1041,Senior Database Engineer MTS DBA Senior Oracle Database Administrator Oracle Database Administrator Database administrator/Scientist,"Ellie Mae eBay Yesmail/infoUSA ClickAction Inc Genelabs Technologies, Inc",27
1042,Database Administrator Databases Technical Support Database Engineer,Wells Fargo Teleperformance COMMVAULT System,19
1043,Sr. Database Administrator SQL Server Database Administrator DBA Sr. Database Administrator DBA DBA DBA DBA,Target Corporation Zanzibar Industries Raytheon's Steady State Database Raytheon's Steady State Database Aegis Media The Hartford Financial Services UCSF Medical center ,20
